RECRUIT_ID,PERSON_ID,LABEL
135144,996499,0
135144,3301030,0
135144,3404860,0
135144,4155520,0
135144,4211720,0
135144,4403337,0
135144,4672512,0
135144,5027573,0
135144,5669476,0
135144,5884040,0
135144,6126103,0
135144,6254033,0
135144,6291663,0
137045,3352869,0
137045,5925193,0
137045,6021293,0
146798,4337659,0
146798,4997026,0
146798,5166735,0
146798,5534253,0
146798,5647382,0
146798,5836605,0
146798,6105887,0
146798,6176199,0
146798,6195615,0
146798,6205675,0
146798,6207451,0
146798,6234768,0
146798,6247269,0
146798,6249220,0
146798,6264624,0
146798,6272694,0
146798,6278271,0
146798,6278272,0
146798,6280588,0
146798,6297626,0
146798,6299901,0
146798,6301165,0
146798,6311151,0
146798,6311918,0
146798,6314652,0
146798,6321890,0
436321,5146771,0
436321,5794265,0
436321,6027786,0
436321,6073102,0
436321,6082465,0
436321,6100345,0
436321,6106494,0
436321,6115646,0
436321,6156036,0
436321,6196764,0
436321,6203854,0
436321,6207451,0
436321,6223731,0
436321,6223833,0
436321,6236806,0
436321,6239632,0
436321,6253670,0
436321,6266821,0
436321,6287780,0
436321,6292597,0
436321,6315701,0
440725,414076,0
462715,1021446,0
462715,1585059,0
462715,2241350,0
462715,2656487,0
462715,6269247,0
470220,316907958,0
470220,318850954,0
470220,320851940,0
489735,24295,0
489735,50270,0
489735,50577,0
489735,54919,0
489735,103591,0
489735,181009,0
489735,182058,0
489735,399881,0
489735,449353,0
489735,567991,0
489735,624668,0
489735,947810,0
489735,1069870,0
489735,1199806,0
489735,1342979,0
489735,1518247,0
489735,1712550,0
489735,1816657,0
489735,2140329,0
489735,2163630,0
489735,2270166,0
489735,2308240,0
489735,2352406,0
489735,2527106,0
489735,2658848,0
489735,2917178,0
489735,3089528,0
489735,3134730,0
489735,3523300,0
489735,4119060,0
489735,4132787,0
489735,4147090,0
489735,4225749,0
489735,4287390,0
489735,4289250,0
489735,4441989,0
489735,4600112,0
489735,4699405,0
489735,4720209,0
489735,4729965,0
489735,4930872,0
489735,4948393,0
489735,5019361,0
489735,5030261,0
489735,5058416,0
489735,5132479,0
489735,5136361,0
489735,5137055,0
489735,5181639,0
489735,5198735,0
489735,5224756,0
489735,5260178,0
489735,5349466,0
489735,5357291,0
489735,5359270,0
489735,5374911,0
489735,5397368,0
489735,5419428,0
489735,5454944,0
489735,5569430,0
489735,5600562,0
489735,5625704,0
489735,5646751,0
489735,5661308,0
489735,5715196,0
489735,5749174,0
489735,5770906,0
489735,5800768,0
489735,5839778,0
489735,5849938,0
489735,5868925,0
489735,5869694,0
489735,5871416,0
489735,5899742,0
489735,5899830,0
489735,5903013,0
489735,5911380,0
489735,5917656,0
489735,5922098,0
489735,5950742,0
489735,5962245,0
489735,5964043,0
489735,5964260,0
489735,5965887,0
489735,5979410,0
489735,5979426,0
489735,5991576,0
489735,5994452,0
489735,5999336,0
489735,6013951,0
489735,6023756,0
489735,6031064,0
489735,6040063,0
489735,6042255,0
489735,6058313,0
489735,6060986,0
489735,6061107,0
489735,6075342,0
489735,6076222,0
489735,6078846,0
489735,6086344,0
489735,6090528,0
489735,6091633,0
489735,6101133,0
489735,6104017,0
489735,6110107,0
489735,6118830,0
489735,6119200,0
489735,6121439,0
489735,6129700,0
489735,6134688,0
489735,6136614,0
489735,6138551,0
489735,6143380,0
489735,6143771,0
489735,6156778,0
489735,6164828,0
489735,6208810,0
489735,6217259,0
489735,6241061,0
489735,6250650,0
491733,1744546,0
491733,3078368,0
491733,4312479,0
491733,4710573,0
491733,5910697,0
491733,5927064,0
491733,6052068,0
491733,6058610,0
491733,6059252,0
491733,6102636,0
491733,6103129,0
491733,6115724,0
491733,6132417,0
491733,6137265,0
491733,6170213,0
491733,6188035,0
491733,6189713,0
491733,6202112,0
491733,6205172,0
491733,6205274,0
491733,6205652,0
513553,32033,0
513553,101787,0
513553,113100,0
513553,324948,0
513553,326658,0
513553,574198,0
513553,651357,0
513553,723551,0
513553,1323946,0
513553,1817619,0
513553,2551237,0
513553,2555647,0
513553,2619910,0
513553,2975246,0
513553,2983120,0
513553,3104029,0
513553,3789698,0
513553,3997969,0
513553,4206276,0
513553,4267737,0
513553,4721442,0
513553,4797515,0
513553,4799403,0
513553,4933567,0
513553,4981014,0
513553,4988024,0
513553,5015394,0
513553,5028061,0
513553,5115208,0
513553,5117899,0
513553,5125655,0
513553,5149278,0
513553,5152758,0
513553,5156156,0
513553,5171181,0
513553,5199402,0
513553,5260063,0
513553,5261239,0
513553,5277253,0
513553,5316547,0
513553,5345843,0
513553,5350184,0
513553,5364519,0
513553,5397776,0
513553,5399256,0
513553,5410259,0
513553,5410999,0
513553,5452302,0
513553,5455007,0
513553,5479299,0
513553,5483331,0
